question,description,Meta_Tags
Pure PHP Radius Client,"New RADIUS Server need Message-Authenticator attribute.
How the Pure PHP RADIUS Client performs this calculation and places the HMAC into the Message-Authenticator attribute?
rad_recv: Access-Request ...",", php, radius"
Stripe API Error: Organization API Key can't retrieve balances [closed],We have a multiple stripe accounts. I created an organization inside stripe and added all the accounts under this organization so that I can use one api key and webhook to manage all automations for ...,stripe-payments
"My kafka keeps crash, freeze or fail. How to improve kafka? [closed]","single server, 32GB, 8 cores, HDD (Lets say i can't use SSD for now)
Total connect worker : 3
Total broker : 3
Schema registry : 1
Kafbat UI : 1
resource reserve :
connect worker : 4GB (min/max) each
...","apache-kafka, apache-kafka-streams, apache-kafka-connect, confluent-platform"
How change parent option for customfield opion?,Is there any possibility to change parent option or parentOptionId of allready existing com.atlassian.jira.issue.customfields.option.Option?,"jira, jira-plugin"
How to use API to get and post data from different programming languages?,I want to develop some projects where I need to integrate some different programming languages. But I don't know how to set communication between them? Can you advice me that how can I learn to ...,"javascript, python, rest, flask"
Why does os.listdir() return files in an unexpected order and how to enforce numeric ordering? [duplicate],"import os

folder = ""Trainingtest1""

files = os.listdir(folder)

for name in files:

    print(name)

I expected os.listdir() to return files in a predictable order (for example,
0.txt, 1....",python
How to fill only 1 icon while using material symbols outlined?,"I'm creating a website for publishing recipes and I'm implementing a like system.
In order to display if a user already likes a recipe, I use a material symbols 'favorite'  icon but I only use not ...","css, icons"
Store-and-forward patterns for intermittently connected mobile nodes,"I am designing a system with multiple mobile nodes that produce discrete event data and communicate over a local peer-to-peer network.
Constraints:
- Intermittent connectivity
- Eventual delivery is ...","network-programming, mobile, mqtt, drone.io"
How to properly process multiple input files from a directory in Python? [closed],"I am working with Python tasks where input data is stored in multiple files
What common pitfalls should be avoided when working with directories and files?",python
Excel question looking up values and filling another table with them,I have a question that relates to looking up values and filling up a table with them. Not sure if there is a certain function in Excel that does this so struggling a bit with looking for already ...,"excel, lookup-tables"
Aide pour un jeu python [closed],"Bonjour,
Je suis une élève en première et nous devons créer notre premier jeu sur Python. Mon équipe et moi avons déjà créer la carte grâce au logiciel Tiles et nous avons tenté de rajouter les murs ...",python
Error while invoking the OCI Function using the Cloud Shell,"Iam trying to run a python code (not a boiler plate code) in the function application. I created all the required files such as : func.yaml, Dockerfile, requirements.txt and func.py (main code). The ...","oracle-cloud-infrastructure, oracle-cloud-functions"
Text is not visible when the button is in disabled state,"I'm encountering a weird behavior on iOS 26. I have a simple Liquid Glass button on a view.
struct ContentView: View {
    @State private var isSheetVisible: Bool = false
    @State private var text: ...",", ios, swiftui, button, text, liquid-glass"
SDIO not working in 4-bit mode on STM32F411,"I'm working on an STMCUBE project that runs on an STM32F411. It requires relatively fast SD card reads, and 4-bit SDIO does not work as it should.
There are many reports about problems with 4-bit SDIO,...","sd-card, stm32f4"
friend function definition in a class can't call another friend function declared in a class [duplicate],"class Thing {
public:
    Thing(int i) : i(i) {}
    friend Thing example() {
        return 0;
    }
    friend Thing stuff() {
        return example();  // error: 'example' was not declared in this ...",c++
Spring Boot 4.0.1: OpenTelemetry trying to connect to collector despite excludinq OTLP exporter,"After migrating from Spring Boot 3.5.6 to 4.0.1, I switched from Micrometer tracing tc OpenTelemetry (as Micrometer autoconfiguration is no longer supported). I don't need to export traces to a ...","spring-boot, open-telemetry, micrometer, open-telemetry-collector, open-telemetry-java"
`terra::vect()` causes segfault when reading geopackage,"I recently had to move my work to a new computer, and now experience some inexplicable issue on a procedure which worked before. I suspect that package versions might have changed a bit, though I kept ...",", r, segmentation-fault, gdal, terra"
PolarDB cluster endpoint idle timeout causing HikariCP “Connection reset/closed”?,"We’re seeing frequent Connection is closed / Connection reset in production (Spring Boot + HikariCP) when connecting via a PolarDB cluster endpoint (so traffic goes through PolarProxy).
Most errors ...",polardb
What exactly does AI do beyond ML models and rule-based logic?,"I am learning Machine Learning and AI from scratch and I think I understand the basics, but I am confused at a system-design level.
My current understanding is:

ML models learn patterns from data and ...","machine-learning, architecture, artificial-intelligence, system-design"
"Why does calling this data.table not print the first time, but does the second time? [duplicate]","In section 3 (Syntax) of this excellent Answer by Arun:
data.table vs dplyr: can one do something well the other can't or does poorly?
there is a datatable (DT) created, and then an operation ...",", r, data.table"
React-hook-form validation not using Async custom validation with nextJs and ZOD resolver,"I am using react-hook-form 7.71.0, zod 4.3.5, and nextjs 16.1.0.
I have the validation routine that works when called directly in code.
I am using better-auth to check whether a user has been created ...","next.js, react-hook-form, zod, better-auth"
Deleting my firebase app or entirely project,"I am using blue app in projectA, now I create blue app in projectB so we are using now projectB. I have removed cred of projectA from frontend and backend. Now I want to delete my blue app from ...",", firebase"
